t_s,power,cadence
4231,0,0
4232,0,0
4233,0,38
4234,150,91
4235,132,93
4236,29,83
4237,0,48
4238,0,0
4239,0,0
4240,0,0
4241,0,0
4242,0,0
4243,0,0
4244,0,0
4245,0,0
4246,0,0
4247,0,0
4248,0,0
4249,0,0
4250,0,0
4251,0,0
4252,0,0
4253,401,71
4254,337,85
4255,394,88
4256,329,91
4257,332,94
4258,502,97
4259,233,95
4260,127,65
4261,127,41
4262,127,95
4263,368,99
4264,335,101
4265,359,102
4266,268,102
4267,260,102
4268,266,102
4269,300,102
4270,262,96
4271,83,91
4272,14,65
4273,232,93
4274,180,94
4275,98,93
4276,99,92
4277,277,92
4278,239,92
4279,233,92
4280,198,91
4281,116,91
4282,200,90
4283,376,90
4284,363,92
4285,357,92
4286,258,93
4287,255,93
4288,300,94
4289,203,95
4290,362,95
4291,431,97
4292,425,98
4293,325,99
4294,340,100
4295,285,101
4296,270,101
4297,407,102
4298,407,103
4299,378,104
4300,357,104
4301,280,104
4302,155,63
4303,156,100
4304,399,104
4305,407,105
4306,337,106
4307,216,106
4308,238,105
4309,115,95
4310,316,103
4311,245,104
4312,194,104
4313,166,103
4314,165,102
4315,84,92
4316,20,40
4317,201,98
4318,184,100
4319,159,99
4320,91,94
4321,176,98
4322,173,98
4323,215,97
4324,170,97
4325,255,97
4326,187,97
4327,172,97
4328,235,97
4329,146,97
4330,121,97
4331,103,97
4332,74,92
4333,0,64
4334,0,0
4335,0,0
4336,0,0
4337,0,0
4338,0,0
4339,0,0
4340,0,0
4341,28,46
4342,139,92
4343,83,95
4344,0,63
4345,0,0
4346,0,0
4347,0,0
4348,0,0
4349,0,0
4350,0,0
4351,122,71
4352,64,87
4353,31,60
4354,31,42
4355,154,86
4356,201,87
4357,228,88
4358,278,91
4359,201,91
4360,201,97
4361,125,96
4362,0,65
4363,0,65
4364,0,0
4365,0,0
4366,0,0
4367,154,94
4368,263,100
4369,0,100
4370,0,100
4371,0,0
4372,0,0
4373,148,98
4374,214,97
4375,224,97
4376,233,96
4377,380,96
4378,378,97
4379,217,96
4380,137,95
4381,266,94
4382,398,94
4383,329,96
4384,70,91
4385,60,70
4386,149,89
4387,321,93
4388,344,100
4389,354,99
4390,218,99
4391,215,98
4392,165,96
4393,162,95
4394,176,94
4395,96,92
4396,62,89
4397,27,72
4398,0,0
4399,0,0
4400,0,0
4401,142,42
4402,321,42
4403,321,76
4404,397,76
4405,397,78
4406,456,78
4407,456,82
4408,490,78
4409,512,81
4410,0,81
4411,0,81
4412,0,0
4413,475,87
4414,530,92
4415,297,93
4416,282,91
4417,337,91
4418,381,92
4419,278,92
4420,241,92
4421,360,92
4422,391,93
4423,397,94
4424,351,94
4425,351,94
4426,339,94
4427,339,95
4428,391,95
4429,370,95
4430,370,96
4431,287,96
4432,287,96
4433,293,96
4434,293,96
4435,273,96
4436,273,97
4437,254,98
4438,214,98
4439,221,98
4440,205,98
4441,307,98
4442,172,97
4443,92,96
4444,138,95
4445,120,95
4446,120,92
4447,213,95
4448,282,92
4449,200,92
4450,200,89
4451,213,89
4452,213,88
4453,239,88
4454,239,87
4455,276,87
4456,311,88
4457,312,87
4458,223,86
4459,209,83
4460,301,82
4461,358,81
4462,404,79
4463,354,81
4464,347,80
4465,345,81
4466,425,73
4467,436,72
4468,316,75
4469,405,72
4470,401,74
4471,316,74
4472,304,74
4473,307,73
4474,330,73
4475,343,73
4476,343,74
4477,306,74
4478,370,73
4479,396,73
4480,368,74
4481,399,83
4482,383,92
4483,349,92
4484,332,92
4485,391,91
4486,401,91
4487,385,90
4488,397,90
4489,318,90
4490,313,89
4491,339,89
4492,355,89
4493,388,89
4494,410,89
4495,425,89
4496,463,89
4497,384,90
4498,366,90
4499,378,91
4500,351,91
4501,362,92
4502,239,94
4503,205,90
4504,201,89
4505,123,90
4506,8,0
4507,9,52
4508,233,84
4509,295,79
4510,261,83
4511,328,88
4512,298,93
4513,264,97
4514,228,98
4515,157,87
4516,57,64
4517,58,69
4518,0,71
4519,0,0
4520,0,0
4521,0,0
4522,0,0
4523,0,0
4524,0,0
4525,0,30
4526,0,30
4527,0,0
4528,0,0
4529,0,0
4530,0,0
4531,0,0
4532,0,0
4533,0,0
4534,0,0
4535,0,0
4536,281,83
4537,107,83
4538,107,84
4539,45,45
4540,239,95
4541,575,98
4542,441,100
4543,381,102
4544,184,103
4545,112,103
4546,95,103
4547,147,103
4548,147,103
4549,171,96
4550,198,95
4551,194,96
4552,136,97
4553,106,97
4554,34,73
4555,65,85
4556,117,99
4557,98,100
4558,0,78
4559,0,63
4560,0,0
4561,46,47
4562,53,87
4563,36,81
4564,112,37
4565,113,97
4566,139,99
4567,140,99
4568,104,99
4569,69,94
4570,91,86
4571,202,99
4572,199,99
4573,162,99
4574,332,99
4575,270,99
4576,219,100
4577,188,100
4578,367,100
4579,461,102
4580,373,103
4581,69,91
4582,157,101
4583,206,102
4584,152,102
4585,59,92
4586,103,102
4587,0,76
4588,0,0
4589,0,0
4590,0,0
4591,0,0
4592,0,0
4593,0,0
4594,0,0
4595,0,0
4596,0,0
4597,0,0
4598,0,0
4599,0,0
4600,0,0
4601,0,0
4602,0,0
4603,0,0
4604,0,0
4605,0,0
4606,0,0
4607,0,0
4608,20,39
4609,158,88
4610,209,90
4611,95,91
4612,58,88
4613,20,0
4614,20,47
4615,20,88
4616,106,86
4617,121,95
4618,72,93
4619,0,62
4620,0,0
4621,0,0
4622,0,0
4623,0,0
4624,0,0
4625,0,0
4626,0,0
4627,134,38
4628,134,70
4629,268,87
4630,30,86
4631,119,47
4632,469,88
4633,442,93
4634,377,97
4635,197,95
4636,133,90
4637,232,90
4638,138,91
4639,195,92
4640,393,95
4641,384,97
4642,266,98
4643,189,99
4644,211,100
4645,295,99
4646,319,95
4647,234,96
4648,151,97
4649,181,97
4650,174,98
4651,213,99
4652,186,99
4653,247,99
4654,247,102
4655,148,102
4656,173,102
4657,204,98
4658,261,95
4659,174,96
4660,180,95
4661,298,96
4662,256,97
4663,114,97
4664,192,90
4665,370,91
4666,235,92
4667,144,92
4668,225,93
4669,207,93
4670,111,93
4671,91,94
4672,107,94
4673,89,94
4674,50,92
4675,74,92
4676,89,92
4677,213,92
4678,213,91
4679,237,91
4680,420,92
4681,334,93
4682,111,94
4683,312,94
4684,339,95
4685,220,96
4686,355,96
4687,404,98
4688,217,99
4689,151,99
4690,143,99
4691,200,98
4692,261,98
4693,239,99
4694,229,100
4695,202,100
4696,105,95
4697,214,92
4698,181,93
4699,177,93
4700,177,94
4701,195,95
4702,232,95
4703,259,96
4704,209,97
4705,221,97
4706,202,97
4707,336,97
4708,249,97
4709,217,97
4710,223,97
4711,194,97
4712,211,96
4713,270,96
4714,220,96
4715,291,95
4716,151,95
4717,105,94
4718,140,94
4719,140,93
4720,122,93
4721,209,93
4722,237,92
4723,231,92
4724,239,92
4725,235,98
4726,144,101
4727,125,101
4728,125,100
4729,79,94
4730,77,98
4731,0,72
4732,0,72
4733,0,0
4734,0,0
4735,0,0
4736,0,0
4737,0,0
4738,0,0
4739,12,40
4740,174,95
4741,50,82
4742,0,59
4743,0,0
4744,0,0
4745,80,65
4746,129,96
4747,127,89
4748,132,89
4749,142,89
4750,102,89
4751,71,88
4752,10,68
4753,10,70
4754,0,52
4755,0,0
4756,0,0
4757,0,0
4758,0,0
4759,0,0
4760,0,0
4761,0,0
4762,0,0
4763,0,0
4764,50,44
4765,62,0
4766,63,65
4767,463,65
4768,463,84
4769,381,84
4770,381,89
4771,312,90
4772,436,90
4773,436,92
4774,482,95
4775,350,97
4776,255,98
4777,230,99
4778,370,100
4779,305,101
4780,276,102
4781,279,102
4782,262,103
4783,306,104
4784,320,104
4785,263,104
4786,204,101
4787,225,98
4788,156,98
4789,174,99
4790,191,99
4791,203,93
4792,145,92
4793,30,76
4794,13,0
4795,13,58
4796,84,0
4797,84,0
4798,84,69
4799,180,91
4800,131,91
4801,92,91
4802,63,84
4803,201,91
4804,251,91
4805,302,92
4806,272,95
4807,186,101
4808,76,94
4809,0,58
4810,0,0
4811,0,0
4812,0,0
4813,0,0
4814,12,37
4815,249,92
4816,130,94
4817,169,94
4818,195,95
4819,71,93
4820,27,78
4821,174,94
4822,284,96
4823,288,97
4824,229,98
4825,254,98
4826,266,99
4827,274,100
4828,139,100
4829,0,77
4830,0,52
4831,0,0
4832,0,0
4833,0,0
4834,0,0
4835,0,0
4836,0,0
4837,0,0
4838,0,0
4839,0,0
4840,0,0
4841,0,0
4842,0,0
4843,0,0
4844,0,0
4845,0,0
4846,0,0
4847,0,0
4848,0,0
4849,0,0
4850,0,0
4851,0,0
4852,0,0
4853,75,65
4854,136,89
4855,84,88
4856,118,88
4857,203,88
4858,275,88
4859,225,91
4860,281,92
4861,263,91
4862,199,91
4863,154,91
4864,0,63
4865,0,0
4866,0,0
4867,0,0
4868,0,0
4869,0,0
4870,0,41
4871,205,84
4872,288,87
4873,344,89
4874,225,90
4875,217,91
4876,188,91
4877,222,92
4878,140,92
4879,135,92
4880,109,92
4881,13,71
4882,66,0
4883,66,0
4884,66,69
4885,244,91
4886,144,92
4887,146,92
4888,161,93
4889,234,93
4890,175,94
4891,125,94
4892,112,95
4893,6,95
4894,6,51
4895,125,70
4896,215,94
4897,201,94
4898,201,98
4899,180,96
4900,258,95
4901,264,100
4902,300,93
4903,260,92
4904,251,91
4905,211,90
4906,281,89
4907,287,88
4908,273,87
4909,292,87
4910,382,91
4911,422,98
4912,403,99
4913,338,99
4914,319,100
4915,276,99
4916,301,99
4917,268,98
4918,172,97
4919,206,96
4920,305,95
4921,337,95
4922,399,96
4923,398,95
4924,344,96
4925,321,96
4926,210,95
4927,277,95
4928,228,95
4929,218,94
4930,251,94
4931,350,94
4932,354,95
4933,252,95
4934,314,94
4935,304,94
4936,314,94
4937,301,95
4938,350,95
4939,423,97
4940,427,98
4941,301,100
4942,405,100
4943,450,102
4944,359,103
4945,451,104
4946,337,102
4947,304,90
4948,237,90
4949,171,91
4950,118,91
4951,89,92
4952,0,71
4953,0,49
4954,0,0
4955,86,70
4956,146,91
4957,181,92
4958,205,93
4959,184,94
4960,172,95
4961,200,95
4962,179,94
4963,130,94
4964,197,94
4965,197,92
4966,158,93
4967,161,93
4968,107,93
4969,117,93
4970,145,94
4971,175,95
4972,188,95
4973,227,97
4974,164,97
4975,204,87
4976,268,85
4977,212,86
4978,180,87
4979,111,87
4980,111,87
4981,172,89
4982,218,91
4983,242,93
4984,178,94
4985,171,95
4986,127,95
4987,0,65
4988,0,0
4989,0,0
4990,0,0
4991,171,103
4992,19,73
4993,0,0
4994,0,0
4995,0,0
4996,0,0
4997,0,0
4998,0,0
4999,0,0
5000,0,0
5001,0,0
5002,0,0
5003,0,0
5004,0,0
5005,0,0
5006,0,0
5007,0,0
5008,0,0
5009,0,0
5010,0,0
5011,0,0
5012,0,0
5013,0,0
5014,20,36
5015,195,98
5016,152,99
5017,42,86
5018,68,79
5019,28,88
5020,172,88
5021,172,96
5022,331,102
5023,240,102
5024,240,105
5025,246,105
5026,246,103
5027,90,97
5028,57,89
5029,58,65
5030,59,87
5031,113,95
5032,0,95
5033,0,0
5034,0,0
5035,0,0
5036,0,0
5037,0,0
5038,0,0
5039,0,0
5040,0,0
5041,0,0
5042,153,78
5043,50,83
5044,145,99
5045,116,92
5046,0,51
5047,0,0
5048,0,0
5049,0,0
5050,0,0
5051,0,0
5052,0,0
5053,197,92
5054,258,95
5055,303,96
5056,405,97
5057,385,99
5058,321,100
5059,352,101
5060,180,101
5061,180,101
5062,56,93
5063,98,84
5064,189,99
5065,65,89
5066,83,77
5067,259,91
